_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
921c0f57-380c-45b3-8c7f-4496eb19bd1f,GCH719,Tópicos especiais de pesquisa social I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
fdcb6462-c7a8-4439-84a4-f520b39fe4f9,GCH720,Tópicos especiais de pesquisa social II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
91f78d80-361e-4dcf-931b-351ce32636d6,GCH721,Tópicos especiais de pesquisa social III,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
50362e1d-36af-443e-aed4-468f756a0af7,GCH722,Tópicos especiais de pesquisa social IV,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
d69d9374-01a3-4652-87c6-1717e0a33609,GCH723,Tópicos especiais de pesquisa social V,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
27694613-1e98-4a46-b5d4-aaa71c56d868,GCH724,Tópicos especiais de ensino de ciências sociais I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
1fbc05f8-3299-40f8-b127-b51847a3e556,GCH725,Tópicos especiais de ensino de ciências sociais II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
0ae66d9d-3d80-498e-8d6b-d1f1055146cd,GCH726,Tópicos especiais de ensino de ciências sociais III,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
d7b85799-2a13-4d68-a03b-d50d71be9e6f,GCH727,Tópicos especiais de ensino de ciências sociais IV,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
94c4e13d-ec69-4162-9460-087e23f3331e,GCH728,Tópicos especiais de ensino de ciências sociais V,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
1f1022cd-1dee-4fe4-a2de-063f2637c39c,GCH729,Tópicos especiais de atuação profissional do cientista social I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
199c22a5-8565-4314-aa24-7265eed5b66d,GCH730,Tópicos especiais de atuação profissional do cientista social II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
686e9249-27d1-478b-af08-51d373900ad7,GCH731,Tópicos especiais de atuação profissional do cientista social III,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
17e5a0e1-fcf5-452b-ae4e-19c207801f4b,GCH732,Tópicos especiais de atuação profissional do cientista social IV,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
76fa8f2c-f90c-4f4c-8014-c361edda0929,GCH733,Tópicos especiais de atuação profissional do cientista social V,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
