_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
61793f2f-70e4-415b-a3de-fec0ebf23906,Erechim,2020,2,GCH809,Educação inclusiva,4,60,29364,Interdisciplinar em Educação do Campo: Ciências da Natureza (Pronacampo) - (Optativo) - 7ª Fase - (Remoto) - 2020/2,,5510,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,7,"[{""docente"":""SONIZE LEPKE"",""ch_docente"":60}]",0,0,50,24,24,Encerrada,2021-08-19
bf728bdf-0f71-43b4-b55d-82abb2c1e3ce,Chapecó,2019,1,GCS080,Estratégia mercadológica,4,60,23840,Administração - 7ª Fase - Matutino - 2019/1,,1600,ADMINISTRAÇÃO,7,"[{""docente"":""ALESSANDRA CASSOL"",""ch_docente"":60}]",0,0,50,7,7,Encerrada,2021-08-19
15c8b2da-bd89-4da0-b2cd-578bf0613196,Erechim,2020,2,GCB414,Biologia na educação básica IV,4,60,29363,Interdisciplinar em Educação do Campo: Ciências da Natureza (Pronacampo) - 6ª Fase - (Remoto) - 2020/2 ,,5510,INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS DA NATUREZA,6,"[{""docente"":""MAIDA ARIANE DE MELO"",""ch_docente"":60}]",0,0,50,2,2,Encerrada,2021-08-19
dd73e10d-569d-466e-9fe3-31bdcb679adb,Erechim,2012,2,GCH081,Epistemologia,4,60,2986,Filosofia - 6ª fase - Noturno - 2012/2,,5702,FILOSOFIA,6,"[{""docente"":""JERZY ANDRE BRZOZOWSKI"",""ch_docente"":60}]",0,0,50,24,21,Encerrada,2021-08-19
2929c543-a379-4e3c-9b99-348dcab12226,Erechim,2016,2,GCA261,Pós-colheita de grãos,3,45,15882,Agronomia - 8ª Fase - Integral - 2016/2,,5502,AGRONOMIA,8,"[{""docente"":""LAURI LOURENCO RADUNZ"",""ch_docente"":30},{""docente"":""GISMAEL FRANCISCO PERIN"",""ch_docente"":15}]",0,0,50,25,23,Encerrada,2021-08-19
d97f0b55-64af-4a61-b3ec-ace0c536ab28,Chapecó,2014,1,GEN203,Tópicos especiais em recursos hídricos,3,45,7003,Engenharia Ambiental (Optativo) - 7ª e 9ª Fase - Integral - 2014/1,,1301,ENGENHARIA AMBIENTAL E SANITÁRIA,7,"[{""docente"":""FERNANDO GRISON"",""ch_docente"":45}]",0,0,50,28,28,Encerrada,2021-08-19
93a089d4-9095-4085-aa9c-879433505ca8,Chapecó,2015,1,GCA241,Forragicultura,4,60,9787,Agronomia - 6ª Fase - Integral - 2015/1,,1501,AGRONOMIA,6,"[{""docente"":""ROSIANE BERENICE NICOLOSO DENARDIN"",""ch_docente"":60}]",0,0,55,35,34,Encerrada,2021-08-19
dd46ec80-2ec9-4e1c-8ee5-552db4388571,Chapecó,2019,1,GCA238,Ecofisiologia agrícola,2,30,24357,Agronomia - 5ª Fase - Integral - 2019/1,,1501,AGRONOMIA,5,"[{""docente"":""ROSIANE BERENICE NICOLOSO DENARDIN"",""ch_docente"":30}]",0,0,60,48,47,Encerrada,2021-08-19
4b02d6e2-d617-48e4-83ae-9de1fb6a9e93,Chapecó,2020,1,GEX006,Estatística básica,4,60,28203,Letras - 3ª fase (Remoto) - 2020/1,,1801,LETRAS - PORTUGUÊS E ESPANHOL,3,"[{""docente"":""JEAN FRANCO MENDES CALEGARI"",""ch_docente"":60}]",0,0,53,56,50,Encerrada,2021-08-19
82114c0c-ad84-4f0b-b1d1-b4556dbb7d3c,Chapecó,2018,1,GCH024,Fundamentos da educação,3,45,21040,Pedagogia - 3ª Fase - Matutino - 2018/1,,1730,PEDAGOGIA,3,"[{""docente"":""MARILDA MERENCIA RODRIGUES"",""ch_docente"":45}]",0,0,50,50,45,Encerrada,2021-08-19
fa78e439-4830-4145-a640-ff8b37813f8e,Chapecó,2018,1,GLA049,Oficina II,1,15,21007,Letras (Português e Espanhol) - 5ª Fase - Noturno -  2018/1,Literatura e outros saberes,1801,LETRAS - PORTUGUÊS E ESPANHOL,5,"[{""docente"":""SANTO GABRIEL VACCARO"",""ch_docente"":15}]",0,0,50,20,20,Encerrada,2021-08-19
fcb2c906-c3b6-4b48-a880-1bdf1771e56e,Chapecó,2019,2,GEX195,Geometria analítica,4,60,24954,Ciência da Computação - 2ª Fase - Matutino - 2019/2,,1100,CIÊNCIA DA COMPUTAÇÃO,2,"[{""docente"":""DIVANE MARCON"",""ch_docente"":60}]",0,0,50,50,49,Encerrada,2021-08-19
fb112859-2e02-4efb-a1a7-441f038ed834,Chapecó,2019,2,GEX219,Física III,4,60,25043,Engenharia Ambiental e Sanitária - 4ª Fase - Integral - 2019/2,,1301,ENGENHARIA AMBIENTAL E SANITÁRIA,4,"[{""docente"":""DIEGO ANDERSON HOFF"",""ch_docente"":60}]",0,0,50,24,24,Encerrada,2021-08-19
ff5a0b4e-d159-43fd-ac9a-dd226924c263,Chapecó,2010,2,GLA004,Leitura e produção textual II,4,60,309,Administração (T1),,1600,ADMINISTRAÇÃO,2,"[{""docente"":""CLAUDIA ANDREA ROST SNICHELOTTO"",""ch_docente"":60}]",0,0,50,45,42,Encerrada,2021-08-19
1d9845dc-69f4-48bf-88e6-f5ae03dbb2b0,Chapecó,2010,2,GCH019,Ensino de história,2,30,358,História (T1),,1720,HISTÓRIA,2,"[{""docente"":""DELMIR JOSE VALENTINI"",""ch_docente"":30}]",0,0,50,35,31,Encerrada,2021-08-19
